ean,quantita
0088381826105,15
0088381826228,10
0088381826433,100
0088381826853,10
0088381832724,60
0088381833271,23
0088381837637,58
0088381837668,26
0088381838009,33
0088381843379,11
0088381846103,100
0088381846127,122
0088381848503,136
0088381848756,16
0088381850612,16
0088381850735,11
0088381850957,10
0088381853552,112
0088381853576,10
0088381854047,12
0088381854399,28
0088381854719,173
0088381857871,10
0088381857895,11
0088381858205,11
0088381858342,101
0088381858403,101
0088381859103,200
0088381859127,200
0088381859431,17
0088381860017,60
0088381865241,11
0088381866156,10
0088381866286,11
0088381866361,20
0088381866439,35
0088381868075,20
0088381868372,10
0088381870160,27
0088381872577,50
0088381873055,35
0088381873741,10
0088381873857,12
0088381874748,24
0088381874786,16
0088381876018,12
0088381876322,10
0088381884228,47
0088381884242,28
0088381884280,15
0088381884310,10
0088381884440,40
0088381884525,46
0088381884600,30
0088381886819,34
0088381886949,30
0088381887441,10
0088381887601,13
0088381887670,100
0088381889773,10
0088381889896,19
0088381891134,101
0088381891158,10
0088381891172,200
0088381891202,61
0088381891226,100
0088381891905,10
0088381893510,10
0088381894654,22
0088381894715,24
0088381898003,40
0088381898041,20
0088381899611,49
0088611637334,1000
0088698445419,12
0088698445426,12
0088698592984,45
0091511200331,50
0091511200416,3000
0091511200478,100
0091511220025,30
0091511220063,200
0091511220155,300
0091511220247,70
0091511220254,100
0091511230383,4000
0091511230772,500
0091511231007,1000
0091511300185,900
0091511300376,70
0091511300628,10
0091511300659,80
0091511400151,80
0091511400168,100
0091511400403,300
0091511400410,5000
0091511400564,4000
0091511400793,40
0091511610529,200
0093573032516,30
0093573548666,15
0093573622144,37
0093573877629,54
0093573897207,233
0094325221127,27
0094325221134,16
0095205007572,17
0095205007688,20
0095205017151,16
0095205017175,10
0095205033175,37
0095205033182,23
0095205033250,26
0095205035568,28
0095205037883,12
0095205037890,36
0095205037906,25
0095205037913,48
0095205037968,13
0095205037975,20
0095205037982,30
0095205037999,16
0095205038095,12
0095205038576,10
0095205038590,82
0095205039726,36
0095205039733,33
0095205039740,36
0095205039757,35
0095205039818,38
0095205039825,31
0095205039832,24
0095205039849,49
0095205040333,12
0095205040340,26
0095205040746,10
0095205041170,12
0095205041194,20
0095205041293,45
0095205041538,11
0095205041552,21
0095205042962,13
0095205043853,21
0095205043877,18
0095205043884,18
0095205043969,10
0095205044027,11
0095205044034,15
0095205044041,36
0095205044171,18
0095205044324,12
0095205044362,18
0095205047943,30
0095205047967,11
0095205049565,26
0095205049770,17
0095205049817,14
0095205049848,12
0095205049916,22
0095205049923,21
0095205049930,18
0095205049961,24
0095205067804,15
0095205067859,100
0095205067910,185
0095205067927,47
0095205067934,20
0095205067941,51
0095205067996,48
0095205068450,16
0095205068542,17
0095205068559,101
0095205068597,14
0095205068658,19
0095205068665,14
0095205068672,54
0095205068696,19
0095205068771,17
0095205068795,14
0095205068894,13
0095205068900,24
0095205068917,14
0095205068924,14
0095205068979,16
0095205068986,43
0095205068993,74
0095205069044,27
0095205069266,28
0095205069303,70
0095205069341,30
0095205069365,20
0095205069389,79
0095205069419,18
0095205130652,18
0095205131772,26
0095205136746,51
0095205136814,11
0095205433869,18
0095205615098,40
0095205615111,25
0095205615128,20
0095205616989,20
0095205617481,21
0095205617498,26
0095205741551,10
0095205766387,20
0095205832570,19
0095205832709,42
0095205833768,51
0095205833782,15
0095205839081,18
0095205839111,48
0095205839166,22
0095205839456,51
0095205839722,33
0095205842135,10
0095205842562,62
0095205842579,12
0095205845945,145
0095205845952,36
0095205845969,50
0095205845976,12
0095205846102,48
0095205846225,20
0095205846386,21
0095205847628,36
0095205847758,84
0095205850031,11
0095205862201,10
0095205863154,38
0095205864533,14
0095205864557,11
0095205881868,14
0095205882148,11
0095205882162,11
0095205882179,11
0095205883299,20
0095205883305,38
0095205883312,89
0095205891652,10
0095205891669,26
0095205964905,11
0095205973082,11
0095969006378,26
0095969040778,11
0095969052894,37
0095969079549,42
0095969080644,11
0095969096188,38
0095969242721,13
0095969245944,11
0095969259163,42
0095969261272,24
0095969268585,13
0095969287517,11
0095969291361,36
0095969327237,24
0095969344791,90
0095969344814,64
0095969344852,23
0095969349697,54
0095969371735,18
0095969400084,10
0095969417457,11
0095969417853,19
0095969419291,10
0095969436298,58
0095969443807,12
0095969463645,12
0095969475815,16
0095969563734,15
0095969589901,69
0095969589918,49
0095969589925,11
0095969599689,157
0095969599702,318
0095969610490,30
0095969610506,63
0095969610513,135
0095969623742,146
0095969623766,34
0095969671989,23
0095969766784,13
0095969779043,23
0095969798341,15
0095969798396,18
0095969798532,21
0095969802697,38
0095969819930,11
0095969840095,28
0095969854108,53
0095969926287,11
0097855119551,26
0097855131041,16
0097855133250,40
0097855136152,26
0097855142955,87
0097855142979,77
0097855143143,19
0097855147325,10
0097855147332,17
0097855147349,122
0097855148940,10
0097855153197,44
0097855162045,500
0097855163226,25
0097855163240,24
0097855163714,36
0097855163806,31
0097855164490,21
0097855165893,13
0097855166050,36
0097855166067,40
0097855166074,110
0097855167675,55
0097855168726,15
0097855168757,17
0097855168818,27
0097855169990,18
0097855170002,10
0097855181596,32
0097855184542,12
0097855190697,18
0097855195180,17
0097855198198,60
0097855199577,61
0097855208194,40
0101077555872,20
0102930981364,230
0103438684276,29
0168141591389,33
0190017005010,17
0190017005065,11
0190017014913,31
0190017016559,58
0190017019475,37
0190017019536,10
0190017019543,15
0190017020181,28
0190017021072,10
0190017045832,9876
0190017045856,9876
0190017045863,9876
0190017063072,9876
0190017063249,20
0190017070957,14
0190017072685,48
0190017072746,10
0190017080901,100
0190017085869,9876
0190017085876,9876
0190017097640,9876
0190017154213,100
0190017154220,100
0190017154237,100
0190017154244,100
0190017154251,100
0190017154275,100
0190017154282,100
0190017154299,100
0190017154305,9876
0190017186702,9876
0190017186719,9876
0190017198705,100
0190017198712,100
0190017198729,100
0190017199597,111
0190017199672,64
0190017205519,9876
0190017219097,216
0190017232751,55
0190017239958,100
0190017245836,20
0190017245850,46
0190017246017,186
0190017246031,16
0190017247410,20
0190017248066,100
0190017252100,22
0190017268590,19
0190017272597,70
0190017273624,127
0190017284552,1000
0190017290195,50
0190017295039,10
0190017298641,9876
0190017298665,100
0190017312521,13
0190017326818,49
0190017326894,10
0190017326900,11
0190017327341,100
0190017329321,14
0190017339405,21
0190017339658,32
0190017348001,31
0190017348216,28
0190017348483,18
0190017348728,15
0190017349008,10
0190017352220,44
0190017353357,119
0190017355030,74
0190017355207,15
0190017355238,81
0190017355450,104
0190017357997,253
0190017367552,69
0190017367569,63
0190017367576,90
0190017367583,394
0190017367590,522
0190017376493,15
0190017382289,16
0190017392974,34
0190017404523,100
0190017416779,30
0190017423364,16
0190017434001,11
0190017443942,22
0190017443959,12
0190017443966,34
0190017445397,88
0190017447346,85
0190017472720,64
0190017472904,13
0190017475295,15
0190017475462,11
0190017480190,100
0190017480510,17
0190017480527,141
0190017492834,337
0190017493022,14
0190017493114,13
0190017508887,56
0190017508894,128
0190017508900,12
0190017508924,36
0190017508931,63
0190017508948,85
0190017508979,12
0190017512075,9876
0190017518893,22
0190017519784,28
0190017521060,98
0190017521084,160
0190017521503,70
0190017522937,49
0190017522982,10
0190017523545,85
0190017523590,22
0190017523743,82
0190017523798,13
0190017524177,48
0190017524238,28
0190017524429,36
0190017524474,43
0190017524726,12
0190017527703,12
0190017527734,14
0190017532615,16
0190017535005,11
0190017535029,23
0190017535036,17
0190017535043,15
0190017535050,41
0190017535371,11
0190017536682,23
0190017538679,14
0190017538860,20
0190017544182,17
0190017545127,18
0190017552248,14
0190017557700,10
0190017558455,10
0190017561264,13
0190017563541,116
0190017563596,35
0190017563725,10
0190017565545,85
0190017566931,100
0190017566955,100
0190017566962,11
0190017566979,33
0190017583761,62
0190017584621,9876
0190017586144,9876
0190017592893,94
0190017593241,61
0190017593425,13
0190017593470,34
0190017600536,23
0190017601571,78
0190017601762,24
0190017601816,18
0190017601984,12
0190017602257,39
0190017610429,12
0190017624679,20
0190017624808,18
0190017634142,73
0190017634159,19
0190017634166,32
0190017636894,14
0190017638393,21
0190017638621,102
0190017655352,9876
0190017656212,9876
0190017656441,10
0190017662442,22
0190017662527,15
0190017663791,13
0190017664231,23
0190017668956,12
0190017670447,9876
0190017674704,72
0190017674797,78
0190017674933,17
0190017676296,35
0190017676746,43
0190017679877,10
0190017679990,12
0190017680415,15
0190017680439,17
0190017680491,9876
0190017685328,12
0190017685359,34
0190017686233,20
0190017693118,33
0190017699677,16
0190017702810,100
0190017702896,20
0190017705040,9876
0190017705057,9876
0190017705071,9876
0190017705828,133
0190017705842,17
0190017709796,15
0190017716909,53
0190017716923,10
0190017720272,21
0190017720449,29
0190017720746,59
0190017728841,85
0190017740164,14
0190017746517,34
0190017746739,38
0190017748306,35
0190017751801,30
0190017752013,20
0190017767666,47
0190017767710,10
0190017767772,15
0190017767796,63
0190017781594,102
0190017781655,10
0190017781723,16
0190017781822,14
0190017781891,32
0190017781914,30
0190017781921,19
0190017781938,16
0190017781976,29
0190017785059,36
0190017785745,17
0190017785974,49
0190017788197,22
0190017795126,23
0190017795188,35
0190198893376,64
0190199312876,40
0190199607033,9876
0190199607064,9876
0190780030585,22
0190780132517,20
0190780132555,15
0190780321324,53
0190780321348,19
0190780321355,101
0190780321362,94
0190780475898,375
0190780570982,16
0190780570999,87
0190780571026,30
0190780571064,19
0190780571101,30
0190780576083,24
0190780576106,13
0190780619261,17
0190780683408,81
0190780843611,11
0190780843635,10
0190780843642,51
0190780984116,30
0190781037699,327
0190781037712,59
0190781049425,335
0190781050094,11
0190781050100,22
0190781050124,14
0190781106968,100
0190781106975,100
0190781106982,94
0190781106999,79
0190781107088,100
0190781107095,100
0190781107101,100
0190781107118,100
0190781107125,130
0190781107132,100
0190781107149,80
0190781107156,94
0190781273752,10
0190781399834,58
0190781643678,13
0190781726937,37
0190781726944,35
0190781726951,100
0190781726968,13
0190781726975,10
0190781771258,68
0190781771272,11
0190781771289,13
0190781771296,100
0190781771302,27
0190781771319,13
0190781926740,18
0190781977902,100
0190781994084,68
0190781994091,21
0190781994107,100
0190940968260,351
0191200521539,94
0191200521720,92
0191545397776,22
0191545397790,466
0191628030149,12
0191628141197,111
0191628213535,58
0191628213542,779
0191628213559,47
0191628213566,1166
0191628213573,50
0191628213580,310
0191628213597,23
0191628213603,17
0191628213610,69
0191628213627,38
0191628349487,11
0191628349494,10
0191628349500,100
0191628405077,18
0191628416431,19
0191628416479,100
0191628428847,39
0191628429011,16
0191628429189,43
0191628435579,23
0191628444724,100
0191628444922,77
0191628444977,26
0191628445110,50
0191628445288,100
0191628445714,23
0191628445851,26
0191628445929,45
0191628446032,100
0191628446155,100
0191628446407,100
0191628446612,100
0191628446674,25
0191628446780,28
0191628446896,47
0191628447008,62
0191628447213,12
0191628447305,10
0191628449194,49
0191628452224,13
0191628452781,18
0191628453276,37
0191628453290,18
0191628455447,96
0191628455836,12
0191628461653,29
0191628462056,35
0191628462971,38
0191628463411,100
0191628475056,67
0191628480661,100
0191628481071,30
0191628481286,17
0191628481293,25
0191628481699,101
0191628481989,100
0191628482344,11
0191628482498,92
0191628482610,24
0191628482801,31
0191628482894,74
0191628483099,11
0191628483273,376
0191628483501,20
0191628483754,41
0191628483877,20
0191628484386,100
0191628484447,32
0191628484584,100
0191628484638,17
0191628526215,19
0191628528318,14
0191628528387,78
0191628528455,22
0191628528516,13
0191628528554,11
0191628545186,17
0191628560042,15
0191628638031,25
0191942040848,30
0191942054777,16
0191942082008,10
0191942095053,14
0191942095633,19
0191942095770,14
0191942097286,20
0191942098559,30
0191942108388,10
0191942108456,10
0191999684750,30
0191999722100,30
0191999788328,21
0191999788342,62
0191999788403,256
0191999788410,21
0191999788441,21
0192018046344,3209
0192018046351,101
0192018046368,101
0192018046375,101
0192018046382,32
0192018046399,101
0192018046405,101
0192018046412,101
0192018046627,44
0192018046634,129
0192018046641,10
0192018046788,100
0192018463189,76
0192018630512,30
0192018630529,30
0192018958401,13
0192018996175,15
0192076019748,50
0192076019960,311
0192143000693,18
0192158624846,243
0192330021951,224
0192330287418,14
0192330828895,59
0192545078818,16
0192545078955,10
0192545079426,47
0192545168397,15
0192545270656,100
0192545270687,10
0192545638555,500
0192545650861,35
0192545650878,44
0192545650885,39
0192545650892,100
0192545654487,100
0192545654494,100
0192545710954,46
0192545710992,41
0192545711005,39
0192545711012,27
0192545711029,45
0192545841795,100
0192545863971,100
0192545866347,100
0192545866385,11
0192545866439,59
0192545866507,100
0192545866552,87
0192545866590,272
0192545866620,10
0192545866705,17
0192545866750,76
0192545866941,100
0192545866989,20
0192545918244,30
0192545948258,27
0192563495987,24
0192563496083,39
0192563995135,12
0192940376274,107
0192940572898,30
0193015013964,12
0193015176614,22
0193015184572,10
0193015507258,94
0193015507388,19
0193015553248,100
0193015553255,30
0193015553286,100
0193015850187,31
0193108141567,10
0193108145626,10
0193108146487,10
0193108149518,11
0193108149655,15
0193124150345,145
0193124150352,587
0193124916415,39
0193124916453,27
0193386076858,202
0193386076902,157
0193386076919,484
0193386287346,300
0193386287360,4160
0193424172665,28
0193424172702,100
0193424172801,100
0193424172818,100
0193424172825,100
0193424172832,100
0193424290659,1000
0193424413348,10
0193424531004,40
0193424555116,58
0193424926114,100
0193575032023,49
0193638156321,30
0193638720980,17
0193808022197,9876
0193808322327,13
0193808346613,12
0193808434716,46
0193808642487,12
0193808692727,65
0193808693212,39
0193808715709,100
0193808760259,216
0193808760266,443
0193808760273,455
0193808760280,319
0193808760297,101
0193808760303,101
0193808760310,101
0193808760327,101
0193808760372,15
0193808760389,11
0193808760396,11
0193808760402,11
0193808830464,177
0193808850271,12
0193808918742,49
0193808948282,17
0193808948503,23
0193808948541,24
0193808948688,16
0193905029877,25
0193905205479,44
0193905205998,100
0193905208531,500
0193905208715,52
0193905215898,10
0193905216840,25
0193905265138,100
0193905265145,100
0193905265152,100
0193905265169,100
0193905265176,10
0193905265183,100
0193905265190,303
0193905265206,20
0193905265251,10
0193905265268,100
0193905265275,100
0193905265282,100
0193905292646,12
0193905352807,11
0193905352814,375
0193905352821,375
0193905352838,285
0193905352845,205
0193905352852,268
0193905352869,90
0193905352876,89
0193905352883,83
0193905408627,10
0193905429219,62
0193905429226,30
0193905429240,103
0193905429257,30
0193905429271,21
0193905429288,30
0193905429318,30
0193905429462,24
0193905447770,48
0193905447787,46
0193905447794,40
0193905447800,10
0193905447831,55
0193905447848,56
0193905504879,15
0193905578924,41
0193905589869,100
0193905589876,100
0193905679379,100
0193905679386,100
0193905719136,27
0193905925919,121
0193905925940,42
0194252025109,92
0194252055960,100
0194252087459,11
0194252667026,100
0194252667033,100
0194252667040,100
0194252667057,100
0194252667064,100
0194252667071,100
0194252667095,100
0194252667118,100
0194252667125,100
0194252667132,100
0194252667156,100
0194252667170,100
0194252667194,100
0194252667613,100
0194252681923,100
0194252681930,9876
0194252681947,100
0194252682012,100
0194252682029,100
0194252682036,9876
0194252682227,9876
0194252682258,9876
0194252682296,9876
0194252682302,100
0194252682326,9876
0194252682364,9876
0194252682395,9876
0194252682432,9876
0194252682463,100
0194252682500,9876
0194252682579,9876
0194252682609,100
0194252682647,9876
0194252682715,9876
0194252682746,9876
0194252682784,9876
0194252682814,100
0194252750612,45
0194252818527,11
0194252947104,100
0194252947319,100
0194252947524,9876
0194252947593,100
0194253035541,9876
0194253035619,9876
0194253035824,9876
0194253035893,9876
0194253036104,9876
0194253036173,9876
0194253036388,9876
0194253036456,9875
0194253036661,9876
0194253036739,9876
0194253036944,9876
0194253037019,9876
0194253037224,9876
0194253037293,9876
0194253037507,9876
0194253037576,9876
0194253037781,9876
0194253037859,9876
0194253038061,9876
0194253038139,9876
0194253038344,9876
0194253038412,9876
0194253038627,9876
0194253038696,9876
0194253081609,11
0194253082545,23
0194253097297,632
0194253097617,27
0194253097655,17
0194253109365,20
0194253142393,28
0194253232841,9876
0194253232919,9876
0194253232988,9876
0194253233053,100
0194253233121,9876
0194253233190,9876
0194253233268,100
0194253233336,9876
0194253233404,9876
0194253233619,100
0194253233756,100
0194253234036,9876
0194253234173,100
0194253234319,9876
0194253234456,100
0194253235019,100
0194253235088,100
0194253235293,100
0194253297994,11
0194253324171,39
0194253411888,20
0194253412212,14
0194253417057,12
0194253417095,15
0194253417101,39
0194253417125,12
0194253417354,22
0194253417378,10
0194253417620,17
0194253433880,30
0194253711704,16
0194253712640,13
0194253713111,27
0194253715122,42
0194253749455,10
0194253750666,15
0194253939276,50
0194441101836,127
0194441217322,26
0194441304671,38
0194441304688,84
0194441304695,38
0194441428858,100
0194441428865,64
0194441428872,96
0194441428889,74
0194441428896,82
0194441428902,11
0194441428926,22
0194441597332,4737
0194552764852,24
0194552766870,29
0194632481617,1987
0194632482072,30
0194632520231,38
0194644019068,232
0194644019075,19
0194644020798,63
0194644020941,20
0194644040000,12
0194644040437,13
0194644041007,12
0194644054618,11
0194644085919,10
0194644095956,27
0194644096724,21
0194644098285,20
